# Error, Accuracy
6.178999251493421774e+00,6.999999999999999556e-01
6.166173319677882070e+00,6.999999999999999556e-01
6.153690605462493579e+00,6.999999999999999556e-01
6.141537758183154061e+00,6.999999999999999556e-01
6.129701888896645023e+00,6.999999999999999556e-01
6.118170594911213733e+00,6.999999999999999556e-01
6.106931974178347211e+00,6.999999999999999556e-01
6.095974631060748550e+00,6.999999999999999556e-01
6.085287674994315665e+00,6.999999999999999556e-01
6.074860713469423246e+00,6.999999999999999556e-01
6.064683840608979359e+00,6.999999999999999556e-01
6.054747622449337285e+00,6.999999999999999556e-01
6.045043079855054735e+00,6.999999999999999556e-01
6.035561669833525933e+00,6.999999999999999556e-01
6.026295265867250173e+00,6.999999999999999556e-01
6.017236137753156022e+00,6.999999999999999556e-01
6.008376931330984938e+00,6.999999999999999556e-01
5.999710648393609347e+00,6.999999999999999556e-01
5.991230627000418529e+00,6.999999999999999556e-01
5.982930522357385428e+00,6.999999999999999556e-01
5.974804288381942108e+00,6.999999999999999556e-01
5.966846160034850577e+00,6.999999999999999556e-01
5.959050636473260276e+00,6.999999999999999556e-01
5.951412465057139833e+00,6.999999999999999556e-01
5.943926626224097731e+00,6.999999999999999556e-01
5.936588319234203937e+00,6.999999999999999556e-01
5.929392948775888961e+00,6.999999999999999556e-01
5.922336112416047627e+00,6.999999999999999556e-01
5.915413588870887196e+00,6.999999999999999556e-01
5.908621327069718099e+00,6.999999999999999556e-01
5.901955435979934883e+00,6.999999999999999556e-01
5.895412175159306933e+00,6.999999999999999556e-01
5.888987945999784479e+00,6.999999999999999556e-01
5.882679283626326416e+00,6.999999999999999556e-01
5.876482849413632970e+00,6.999999999999999556e-01
5.870395424083953095e+00,6.999999999999999556e-01
5.864413901349588620e+00,6.999999999999999556e-01
5.858535282064299743e+00,6.999999999999999556e-01
5.852756668848736687e+00,6.999999999999999556e-01
5.847075261156387427e+00,6.999999999999999556e-01
5.841488350747060743e+00,6.999999999999999556e-01
5.835993317536580349e+00,6.999999999999999556e-01
5.830587625792321482e+00,6.999999999999999556e-01
5.825268820645278289e+00,6.999999999999999556e-01
5.820034524890817629e+00,6.999999999999999556e-01
5.814882436050981873e+00,6.999999999999999556e-01
5.809810323672956578e+00,6.999999999999999556e-01
5.804816026838881093e+00,6.999999999999999556e-01
5.799897451864072018e+00,6.999999999999999556e-01
5.795052570161359995e+00,6.999999999999999556e-01
5.790279416251195244e+00,6.999999999999999556e-01
5.785576085898021859e+00,6.999999999999999556e-01
5.780940734355252353e+00,6.999999999999999556e-01
5.776371574702412914e+00,6.999999999999999556e-01
5.771866876259680090e+00,6.999999999999999556e-01
5.767424963066390298e+00,6.999999999999999556e-01
5.763044212411834621e+00,6.999999999999999556e-01
5.758723053407991621e+00,6.999999999999999556e-01
5.754459965595437154e+00,6.999999999999999556e-01
5.750253477574935879e+00,6.999999999999999556e-01
5.746102165658840910e+00,6.999999999999999556e-01
5.742004652537496590e+00,6.999999999999999556e-01
5.737959605956985065e+00,6.999999999999999556e-01
5.733965737406014007e+00,6.999999999999999556e-01
5.730021800810280119e+00,6.999999999999999556e-01
5.726126591233760443e+00,6.999999999999999556e-01
5.722278943587273403e+00,6.999999999999999556e-01
5.718477731344949966e+00,6.999999999999999556e-01
5.714721865270196766e+00,6.999999999999999556e-01
5.711010292152916890e+00,6.999999999999999556e-01
5.707341993560241633e+00,6.999999999999999556e-01
5.703715984603184630e+00,6.999999999999999556e-01
5.700131312721814503e+00,6.999999999999999556e-01
5.696587056491794421e+00,6.999999999999999556e-01
5.693082324454798560e+00,6.999999999999999556e-01
